Scenario;Year;Farm;Milk Revenue (€/Year);Feed cost (€/Year)
Baseline situation;2005;LF1;134165.889;35924.84316
Baseline situation;2005;LF2;246261.8862;75807.91944
Baseline situation;2006;LF1;130100.256;38430.970065
Baseline situation;2006;LF2;238799.4048;80184.13722
Baseline situation;2007;LF1;138683.259;51667.529805
Baseline situation;2007;LF2;254553.5322;103245.244245
Baseline situation;2008;LF1;162023.004;56263.792545
Baseline situation;2008;LF2;297393.7032;115422.03783
Baseline situation;2009;LF1;134617.626;44853.366285
Baseline situation;2009;LF2;247091.0508;94601.29239
Baseline situation;2010;LF1;144856.998;50517.920475
Baseline situation;2010;LF2;265885.4484;103617.343665
Baseline situation;2011;LF1;155999.844;62167.61358
Baseline situation;2011;LF2;286338.1752;125311.857165
Baseline situation;2012;LF1;151633.053;68593.453425
Baseline situation;2012;LF2;278322.9174;135305.767575
Baseline situation;2013;LF1;162324.162;66658.050945
Baseline situation;2013;LF2;297946.4796;132970.269465
Baseline situation;2014;LF1;173165.85;58808.985975
Baseline situation;2014;LF2;317846.43;117425.43351
Baseline situation;2015;LF1;150579;55661.4
Baseline situation;2015;LF2;276388.2;112965.435
Baseline situation;2016;LF1;140941.944;53356.27374
Baseline situation;2016;LF2;258699.3552;111057.81291
Baseline situation;2017;LF1;158710.266;52646.30271
Baseline situation;2017;LF2;291313.1628;112367.970495
Coexistence scenario;2005;LF1;134165.889;29748.52088
Coexistence scenario;2005;LF2;246261.8862;75356.71704
Coexistence scenario;2006;LF1;130100.256;32613.45366
Coexistence scenario;2006;LF2;238799.4048;78410.65518
Coexistence scenario;2007;LF1;138683.259;46798.737365
Coexistence scenario;2007;LF2;254553.5322;93690.267165
Coexistence scenario;2008;LF1;162023.004;49197.73733
Coexistence scenario;2008;LF2;297393.7032;104433.31701
Coexistence scenario;2009;LF1;134617.626;35589.16753
Coexistence scenario;2009;LF2;247091.0508;89959.48533
Coexistence scenario;2010;LF1;144856.998;41931.822225
Coexistence scenario;2010;LF2;265885.4484;95965.970265
Coexistence scenario;2011;LF1;155999.844;54685.015845
Coexistence scenario;2011;LF2;286338.1752;113015.914605
Coexistence scenario;2012;LF1;151633.053;58524.104155
Coexistence scenario;2012;LF2;278322.9174;117671.362875
Coexistence scenario;2013;LF1;162324.162;55354.928285
Coexistence scenario;2013;LF2;297946.4796;118742.585445
Coexistence scenario;2014;LF1;173165.85;46766.55821
Coexistence scenario;2014;LF2;317846.43;109330.82325
Coexistence scenario;2015;LF1;150579;43315.975
Coexistence scenario;2015;LF2;276388.2;106033.455
Coexistence scenario;2016;LF1;140941.944;42896.32127
Coexistence scenario;2016;LF2;258699.3552;106220.57391
Coexistence scenario;2017;LF1;158710.266;42721.274075
Coexistence scenario;2017;LF2;291313.1628;107768.147355
Complementarity scenario;2005;LF1;134165.889;29748.52088
Complementarity scenario;2005;LF2;246261.8862;75356.71704
Complementarity scenario;2006;LF1;130100.256;32613.45366
Complementarity scenario;2006;LF2;238799.4048;78410.65518
Complementarity scenario;2007;LF1;138683.259;46798.737365
Complementarity scenario;2007;LF2;254553.5322;93690.267165
Complementarity scenario;2008;LF1;162023.004;49197.73733
Complementarity scenario;2008;LF2;297393.7032;104433.31701
Complementarity scenario;2009;LF1;134617.626;35589.16753
Complementarity scenario;2009;LF2;247091.0508;89959.48533
Complementarity scenario;2010;LF1;144856.998;41931.822225
Complementarity scenario;2010;LF2;265885.4484;95965.970265
Complementarity scenario;2011;LF1;155999.844;54685.015845
Complementarity scenario;2011;LF2;286338.1752;113015.914605
Complementarity scenario;2012;LF1;151633.053;58524.104155
Complementarity scenario;2012;LF2;278322.9174;117671.362875
Complementarity scenario;2013;LF1;162324.162;55354.928285
Complementarity scenario;2013;LF2;297946.4796;118742.585445
Complementarity scenario;2014;LF1;173165.85;46766.55821
Complementarity scenario;2014;LF2;317846.43;109330.82325
Complementarity scenario;2015;LF1;150579;43315.975
Complementarity scenario;2015;LF2;276388.2;106033.455
Complementarity scenario;2016;LF1;140941.944;42896.32127
Complementarity scenario;2016;LF2;258699.3552;106220.57391
Complementarity scenario;2017;LF1;158710.266;42721.274075
Complementarity scenario;2017;LF2;291313.1628;107768.147355
Synergetic scenario;2005;LF1;134165.889;29748.52088
Synergetic scenario;2005;LF2;246261.8862;75356.71704
Synergetic scenario;2006;LF1;130100.256;32613.45366
Synergetic scenario;2006;LF2;238799.4048;78410.65518
Synergetic scenario;2007;LF1;138683.259;46798.737365
Synergetic scenario;2007;LF2;254553.5322;93690.267165
Synergetic scenario;2008;LF1;162023.004;49197.73733
Synergetic scenario;2008;LF2;297393.7032;104433.31701
Synergetic scenario;2009;LF1;134617.626;35589.16753
Synergetic scenario;2009;LF2;247091.0508;89959.48533
Synergetic scenario;2010;LF1;144856.998;41931.822225
Synergetic scenario;2010;LF2;265885.4484;95965.970265
Synergetic scenario;2011;LF1;155999.844;54685.015845
Synergetic scenario;2011;LF2;286338.1752;113015.914605
Synergetic scenario;2012;LF1;151633.053;58524.104155
Synergetic scenario;2012;LF2;278322.9174;117671.362875
Synergetic scenario;2013;LF1;162324.162;55354.928285
Synergetic scenario;2013;LF2;297946.4796;118742.585445
Synergetic scenario;2014;LF1;173165.85;46766.55821
Synergetic scenario;2014;LF2;317846.43;109330.82325
Synergetic scenario;2015;LF1;150579;43315.975
Synergetic scenario;2015;LF2;276388.2;106033.455
Synergetic scenario;2016;LF1;140941.944;42896.32127
Synergetic scenario;2016;LF2;258699.3552;106220.57391
Synergetic scenario;2017;LF1;158710.266;42721.274075
Synergetic scenario;2017;LF2;291313.1628;107768.147355
